#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.349696E-02   0.112784E+07   0.112665E+07   0.109526E+06   0.113919E+06   0.603289E+06   0.112158E+07   0.112766E+07   0.112197E+07  -0.563466E+00   0.112228E+07   0.112216E+07   0.281348E+02
   0.386474E-02   0.111765E+07   0.111620E+07   0.942352E+05   0.980686E+05   0.547693E+06   0.111082E+07   0.111742E+07   0.111116E+07  -0.557839E+00   0.111159E+07   0.111145E+07   0.304851E+02
   0.427120E-02   0.110614E+07   0.110439E+07   0.894545E+05   0.908421E+05   0.496967E+06   0.109881E+07   0.110587E+07   0.109913E+07  -0.551644E+00   0.109960E+07   0.109944E+07   0.329946E+02
   0.472041E-02   0.109325E+07   0.109112E+07   0.833057E+05   0.816969E+05   0.451866E+06   0.108548E+07   0.109292E+07   0.108579E+07  -0.544838E+00   0.108627E+07   0.108607E+07   0.356760E+02
   0.521686E-02   0.107891E+07   0.107633E+07   0.684453E+05   0.654670E+05   0.411844E+06   0.107078E+07   0.107851E+07   0.107102E+07  -0.537364E+00   0.107154E+07   0.107131E+07   0.385394E+02
   0.576552E-02   0.106305E+07   0.105993E+07   0.477027E+05   0.462753E+05   0.375246E+06   0.105460E+07   0.106257E+07   0.105477E+07  -0.529160E+00   0.105537E+07   0.105509E+07   0.415906E+02
   0.637188E-02   0.104561E+07   0.104184E+07   0.319111E+05   0.333424E+05   0.340194E+06   0.103685E+07   0.104502E+07   0.103697E+07  -0.520180E+00   0.103766E+07   0.103733E+07   0.448309E+02
   0.704202E-02   0.102652E+07   0.102197E+07   0.277072E+05   0.296167E+05   0.305777E+06   0.101746E+07   0.102581E+07   0.101756E+07  -0.510388E+00   0.101833E+07   0.101794E+07   0.482590E+02
   0.778264E-02   0.100569E+07   0.100022E+07   0.276687E+05   0.270183E+05   0.272505E+06   0.996348E+06   0.100484E+07   0.996449E+06  -0.499754E+00   0.997292E+06   0.996825E+06   0.518708E+02
   0.860115E-02   0.983067E+06   0.976490E+06   0.210487E+05   0.195566E+05   0.241303E+06   0.973453E+06   0.982041E+06   0.973529E+06  -0.488235E+00   0.974465E+06   0.973910E+06   0.556556E+02
