#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.576552E-02   0.174229E+08   0.174193E+08   0.568983E+03  -0.210906E+04   0.131984E+08   0.173748E+08   0.174223E+08   0.173748E+08  -0.414652E+00   0.920518E+07   0.920514E+07   0.199333E+01
   0.637188E-02   0.171236E+08   0.171193E+08  -0.149309E+04   0.758226E+04   0.125714E+08   0.170717E+08   0.171229E+08   0.170717E+08  -0.407419E+00   0.904538E+07   0.904534E+07   0.214614E+01
   0.704202E-02   0.167977E+08   0.167926E+08  -0.141708E+04   0.102191E+05   0.119156E+08   0.167420E+08   0.167969E+08   0.167420E+08  -0.399550E+00   0.887151E+07   0.887146E+07   0.230812E+01
   0.778264E-02   0.164439E+08   0.164377E+08  -0.153783E+04   0.973959E+04   0.112330E+08   0.163843E+08   0.164429E+08   0.163843E+08  -0.391014E+00   0.868286E+07   0.868281E+07   0.247901E+01
   0.860115E-02   0.160608E+08   0.160534E+08  -0.129713E+04   0.772928E+04   0.105326E+08   0.159975E+08   0.160597E+08   0.159975E+08  -0.381782E+00   0.847879E+07   0.847872E+07   0.265819E+01
   0.950573E-02   0.156474E+08   0.156385E+08  -0.239506E+04   0.651597E+04   0.982189E+07   0.155805E+08   0.156460E+08   0.155805E+08  -0.371830E+00   0.825870E+07   0.825862E+07   0.284458E+01
   0.105055E-01   0.152024E+08   0.151918E+08  -0.997858E+03   0.551120E+04   0.910220E+07   0.151322E+08   0.152007E+08   0.151322E+08  -0.361130E+00   0.802201E+07   0.802192E+07   0.303644E+01
   0.116103E-01   0.147247E+08   0.147121E+08  -0.964201E+03   0.448648E+04   0.837839E+07   0.146514E+08   0.147227E+08   0.146514E+08  -0.349656E+00   0.776812E+07   0.776801E+07   0.323120E+01
   0.128314E-01   0.142132E+08   0.141983E+08  -0.724677E+03   0.341526E+04   0.765701E+07   0.141371E+08   0.142108E+08   0.141371E+08  -0.337383E+00   0.749645E+07   0.749632E+07   0.342520E+01
   0.141809E-01   0.136669E+08   0.136493E+08  -0.595179E+03   0.272486E+04   0.694572E+07   0.135886E+08   0.136641E+08   0.135886E+08  -0.324292E+00   0.720654E+07   0.720638E+07   0.361347E+01
   0.156723E-01   0.130852E+08   0.130647E+08  -0.365869E+03   0.222259E+04   0.624865E+07   0.130052E+08   0.130820E+08   0.130052E+08  -0.310369E+00   0.689809E+07   0.689791E+07   0.378941E+01
   0.173206E-01   0.124682E+08   0.124443E+08  -0.608328E+03   0.159941E+04   0.557206E+07   0.123869E+08   0.124644E+08   0.123869E+08  -0.295614E+00   0.657108E+07   0.657088E+07   0.394452E+01
   0.191422E-01   0.118165E+08   0.117889E+08  -0.159878E+03   0.128951E+04   0.492152E+07   0.117347E+08   0.118122E+08   0.117347E+08  -0.280049E+00   0.622598E+07   0.622574E+07   0.406825E+01
